sex,month,year,Ageband,Persontime,Persontime_MIS_narrow,Persontime_KD_narrow,Persontime_MIS_KD_narrow,Persontime_MIS_broad,Persontime_KD_broad,Persontime_MIS_KD_broad,Persontime_MYOCARD_narrow,Persontime_MYOCARD_possible,Persontime_Myocardalone_narrow,Persontime_Myocardalone_possible,Persontime_PERICARD_narrow,Persontime_PERICARD_possible,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b,PERICARD_narrow_b,PERICARD_possible_b,IR_MIS_narrow,lb_MIS_narrow,ub_MIS_narrow,IR_KD_narrow,lb_KD_narrow,ub_KD_narrow,IR_MIS_KD_narrow,lb_MIS_KD_narrow,ub_MIS_KD_narrow,IR_MIS_broad,lb_MIS_broad,ub_MIS_broad,IR_KD_broad,lb_KD_broad,ub_KD_broad,IR_MIS_KD_broad,lb_MIS_KD_broad,ub_MIS_KD_broad,IR_MYOCARD_narrow,lb_MYOCARD_narrow,ub_MYOCARD_narrow,IR_MYOCARD_possible,lb_MYOCARD_possible,ub_MYOCARD_possible,IR_Myocardalone_narrow,lb_Myocardalone_narrow,ub_Myocardalone_narrow,IR_Myocardalone_possible,lb_Myocardalone_possible,ub_Myocardalone_possible,IR_PERICARD_narrow,lb_PERICARD_narrow,ub_PERICARD_narrow,IR_PERICARD_possible,lb_PERICARD_possible,ub_PERICARD_possible
0,March,2020,60-69,5995,5995,5995,5995,5995,5995,5995,5995,5995,5995,5995,5995,5995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22474.78,0,0,22474.78,0,0,22474.78,0,0,22474.78,0,0,22474.78,0,0,22474.78,0,0,22474.78,0,0,22474.78,0,0,22474.78,0,0,22474.78,0,0,22474.78,0,0,22474.78
0,April,2020,60-69,5780,5780,5780,5780,5780,5780,5780,5780,5780,5780,5780,5780,5780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23310.78,0,0,23310.78,0,0,23310.78,0,0,23310.78,0,0,23310.78,0,0,23310.78,0,0,23310.78,0,0,23310.78,0,0,23310.78,0,0,23310.78,0,0,23310.78,0,0,23310.78
0,May,2020,60-69,5909,5909,5909,5909,5909,5909,5909,5909,5909,5909,5909,5909,5909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22801.88,0,0,22801.88,0,0,22801.88,0,0,22801.88,0,0,22801.88,0,0,22801.88,0,0,22801.88,0,0,22801.88,0,0,22801.88,0,0,22801.88,0,0,22801.88,0,0,22801.88
0,June,2020,60-69,5561,5561,5561,5561,5561,5561,5561,5561,5561,5561,5561,5561,5561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24228.79,0,0,24228.79,0,0,24228.79,0,0,24228.79,0,0,24228.79,0,0,24228.79,0,0,24228.79,0,0,24228.79,0,0,24228.79,0,0,24228.79,0,0,24228.79,0,0,24228.79
0,July,2020,60-69,5710,5710,5710,5710,5710,5710,5710,5710,5710,5710,5710,5710,5710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23596.55,0,0,23596.55,0,0,23596.55,0,0,23596.55,0,0,23596.55,0,0,23596.55,0,0,23596.55,0,0,23596.55,0,0,23596.55,0,0,23596.55,0,0,23596.55,0,0,23596.55
0,August,2020,60-69,5657,5657,5657,5657,5657,5657,5657,5657,5657,5657,5657,5657,5657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23817.63,0,0,23817.63,0,0,23817.63,0,0,23817.63,0,0,23817.63,0,0,23817.63,0,0,23817.63,0,0,23817.63,0,0,23817.63,0,0,23817.63,0,0,23817.63,0,0,23817.63
0,September,2020,60-69,5281,5281,5281,5281,5281,5281,5281,5281,5281,5281,5281,5281,5281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25513.41,0,0,25513.41,0,0,25513.41,0,0,25513.41,0,0,25513.41,0,0,25513.41,0,0,25513.41,0,0,25513.41,0,0,25513.41,0,0,25513.41,0,0,25513.41,0,0,25513.41
0,October,2020,60-69,5340,5340,5340,5340,5340,5340,5340,5340,5340,5340,5340,5340,5340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25231.52,0,0,25231.52,0,0,25231.52,0,0,25231.52,0,0,25231.52,0,0,25231.52,0,0,25231.52,0,0,25231.52,0,0,25231.52,0,0,25231.52,0,0,25231.52,0,0,25231.52
0,November,2020,60-69,5127,5127,5127,5127,5127,5127,5127,5127,5127,5127,5127,5127,5127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26279.76,0,0,26279.76,0,0,26279.76,0,0,26279.76,0,0,26279.76,0,0,26279.76,0,0,26279.76,0,0,26279.76,0,0,26279.76,0,0,26279.76,0,0,26279.76,0,0,26279.76
0,December,2020,60-69,5161,5161,5161,5161,5161,5161,5161,5161,5161,5161,5161,5161,5161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26106.63,0,0,26106.63,0,0,26106.63,0,0,26106.63,0,0,26106.63,0,0,26106.63,0,0,26106.63,0,0,26106.63,0,0,26106.63,0,0,26106.63,0,0,26106.63,0,0,26106.63
